dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,74,0.5,0.01,1.4815782308578491,26.696912788842695,0.8718454837799072,0.12455873191356659
CelebA,75,0.5,0.01,1.3483818769454956,32.17535749170863,0.9115574359893799,0.07007695734500885
CelebA,76,0.5,0.01,1.307341456413269,27.449458577494255,0.8022765517234802,0.16954556107521057
CelebA,77,0.5,0.01,1.2271445989608765,28.815777785397216,0.8159676194190979,0.1592407375574112
CelebA,78,0.5,0.01,1.467100739479065,25.514596050091267,0.8490995764732361,0.15734165906906128
CelebA,79,0.5,0.01,1.3187869787216187,29.481155763674987,0.8487012386322021,0.1225639283657074
CelebA,80,0.5,0.01,1.0880531072616577,26.92498264246361,0.7739034295082092,0.19504648447036743
CelebA,81,0.5,0.01,1.4161771535873413,29.52198512877775,0.8400478959083557,0.11721666902303696
CelebA,82,0.5,0.01,1.2904788255691528,28.5782805609831,0.8437318801879883,0.2142328917980194
CelebA,83,0.5,0.01,1.3051904439926147,29.057767601587127,0.8699460029602051,0.09727787971496582
CelebA,84,0.5,0.01,1.5807080268859863,26.456222563824973,0.836225688457489,0.07992926985025406
CelebA,85,0.5,0.01,1.4300323724746704,26.563889848083278,0.8154098987579346,0.14200176298618317
CelebA,86,0.5,0.01,1.4578437805175781,25.879759209624567,0.854047954082489,0.08548392355442047
CelebA,87,0.5,0.01,1.5237541198730469,27.547616379856386,0.8497244715690613,0.10463342070579529
CelebA,88,0.5,0.01,1.195926547050476,29.462830686602032,0.8510677814483643,0.13157446682453156
CelebA,89,0.5,0.01,1.2845526933670044,26.494471008196992,0.8117149472236633,0.15925145149230957
CelebA,90,0.5,0.01,1.5276312828063965,28.876204337626117,0.8636727929115295,0.06739191710948944
CelebA,91,0.5,0.01,1.2229688167572021,29.675141041323734,0.8275136947631836,0.15438508987426758
CelebA,92,0.5,0.01,1.5367820262908936,26.691501309063916,0.8144705891609192,0.09306959807872772
CelebA,93,0.5,0.01,1.483245611190796,26.2781359584454,0.8126142024993896,0.13937631249427795
CelebA,94,0.5,0.01,1.3991245031356812,25.093980534326228,0.8560750484466553,0.10217376053333282
CelebA,95,0.5,0.01,1.2633136510849,30.48966137892231,0.8865692615509033,0.09421470016241074
CelebA,96,0.5,0.01,1.3154948949813843,26.178665492469946,0.7860679030418396,0.26918163895606995
CelebA,97,0.5,0.01,1.2639110088348389,28.19619702695046,0.8406550884246826,0.11930498480796814
CelebA,98,0.5,0.01,1.4039816856384277,23.567746689442878,0.7711684107780457,0.23623664677143097
CelebA,99,0.5,0.01,1.4720430374145508,27.25440719592781,0.8348849415779114,0.08725064992904663
CelebA,100,0.5,0.01,1.0826480388641357,28.457671661179017,0.8143375515937805,0.15862581133842468
CelebA,101,0.5,0.01,1.3567124605178833,28.6219607923406,0.8328862190246582,0.15898819267749786
CelebA,102,0.5,0.01,1.3320368528366089,26.747752076230302,0.8750637173652649,0.1407620906829834
CelebA,103,0.5,0.01,1.0139936208724976,27.821998607124026,0.7939124703407288,0.15829995274543762
CelebA,104,0.5,0.01,1.358819842338562,26.299656273358934,0.8434467911720276,0.15117749571800232
CelebA,105,0.5,0.01,1.2243142127990723,32.38326095105282,0.8862578272819519,0.11356966197490692
CelebA,106,0.5,0.01,1.0862189531326294,27.78632014158907,0.83040452003479,0.1754446178674698
CelebA,107,0.5,0.01,1.2411171197891235,27.067278547242807,0.8462224006652832,0.13064834475517273
CelebA,108,0.5,0.01,1.4823644161224365,27.384195356207208,0.8491344451904297,0.15134966373443604
CelebA,109,0.5,0.01,1.0763018131256104,29.852588673311335,0.832563579082489,0.194595068693161
CelebA,110,0.5,0.01,1.2936924695968628,29.402952429613705,0.8674173951148987,0.12303609400987625
CelebA,111,0.5,0.01,1.0608395338058472,28.623813940395586,0.81513911485672,0.2709164321422577
CelebA,112,0.5,0.01,1.4938488006591797,25.729284753743016,0.8194012641906738,0.1341499388217926
CelebA,113,0.5,0.01,1.2199054956436157,27.245346826197895,0.8210527896881104,0.16781601309776306
CelebA,114,0.5,0.01,1.2431527376174927,28.197201714189355,0.8233509063720703,0.17145591974258423
CelebA,115,0.5,0.01,1.3008376359939575,28.077236346456317,0.8022637367248535,0.12810325622558594
CelebA,116,0.5,0.01,1.4417659044265747,28.36621227960513,0.8767102360725403,0.06408682465553284
CelebA,117,0.5,0.01,0.8470683097839355,30.387678453980975,0.8304410576820374,0.1784173995256424
CelebA,118,0.5,0.01,1.6137949228286743,24.578319796251776,0.8126295208930969,0.18236999213695526
CelebA,119,0.5,0.01,1.0290623903274536,26.59346700712398,0.7758564949035645,0.159256249666214
CelebA,120,0.5,0.01,1.3057286739349365,27.448763946677484,0.8498435020446777,0.1414838582277298
CelebA,121,0.5,0.01,1.238601803779602,25.83246869929583,0.7887415885925293,0.22381040453910828
CelebA,122,0.5,0.01,1.1627039909362793,32.39429405775115,0.9201557040214539,0.06635166704654694
CelebA,123,0.5,0.01,1.5355952978134155,28.49421764522201,0.8578059077262878,0.09321940690279007
CelebA,124,0.5,0.01,1.527010440826416,25.638512324454904,0.8598039746284485,0.09486465156078339
CelebA,125,0.5,0.01,1.2830842733383179,27.2886664646539,0.846159040927887,0.11196805536746979
CelebA,126,0.5,0.01,1.5778928995132446,28.019419215418214,0.8428307175636292,0.12148576229810715
CelebA,127,0.5,0.01,1.1869596242904663,28.31823156305349,0.8717777729034424,0.11179892718791962
CelebA,128,0.5,0.01,1.4683895111083984,26.584909092429683,0.8621377348899841,0.10800987482070923
CelebA,129,0.5,0.01,1.179938554763794,30.29253327549498,0.8901183605194092,0.12428633868694305
CelebA,130,0.5,0.01,1.3134089708328247,27.15428121520391,0.8138510584831238,0.14469589293003082
CelebA,131,0.5,0.01,1.3256922960281372,29.023945852162612,0.8265201449394226,0.24538441002368927
CelebA,132,0.5,0.01,1.156990885734558,28.871200264912535,0.8894279599189758,0.06412982940673828
CelebA,133,0.5,0.01,1.403136134147644,26.639808862019954,0.7892572283744812,0.1571136713027954
CelebA,134,0.5,0.01,1.2063162326812744,29.676884740032143,0.8851196765899658,0.09875519573688507
